Current (Our) Label,NCBI Taxdump closest fuzzy-match label,Edit distance,NCBI Taxonomy number,Manual checking,Current accepted name,
Gluconacetobacter xylinus,Gluconacetobacter liquefaciens,4,89584,WRONG,Komagataeibacter xylinus,
Halomonas halodurans,Halomonas halodenitrificans,4,28252,WRONG,Cobetia marina,
Halomonas indalinina,Halomonas salina,5,42565,WRONG,Kushneria indalinina,
Halosarcina pallida,Crotalaria pallida,5,3830,WRONG,Halogeometricum pallidum,
Hongiella marincola,Leeuwenhoekiella marinoflava,5,988,WRONG,Algoriphagus marincola,
Humicoccus flavidus,Mariniluteicoccus flavus,5,1397367,WRONG,Nakamurella flavida,
Humihabitans oryzae,Aquihabitans daechungensis,6,1052257,WRONG,Intrasporangium oryzae,
Hyphomicrobium indicum,Hyphomicrobium hollandicum,5,53400,WRONG,Photobacterium indicum,
Janibacter brevis,Empedobacter brevis,4,247,WRONG,Janibacter terrae,
Kitasatospora cochleata,Kitasatospora paracochleata,4,58354,WRONG,Streptomyces cinereorectus,
Klebsiella planticola,Klebsiella cf. planticola B43,4,95610,WRONG,Raoultella planticola,
Klebsiella singaporensis,Klebsiella senegalensis,5,223379,WRONG,Klebsiella variicola,
Klebsiella terrigena,Candelariella terrigena,4,404705,WRONG,Raoultella terrigena,
Klebsiella trevisanii,Klebsiella variicola,6,244366,WRONG,Raoultella planticola,
Krokinobacter diaphorus,Marinobacter daepoensis,8,262077,WRONG,Dokdonia diaphoros,
Krokinobacter eikastus,Marinobacter pelagius,8,379482,WRONG,Dokdonia eikasta,
Krokinobacter genikus,Roseinatronobacter monicus,6,393481,WRONG,Dokdonia genika,
Lclexibacterl aggregans,Permianibacter aggregans,6,1510150,WRONG,Flexithrix dorotheae,
Leifsonia aurea,Leifsonia aquatica,3,144185,WRONG,Rhodoglobus aureus,
Leifsonia ginsengi,Leifsonia lichenia,4,407964,WRONG,Herbiconiux ginsengi,
Leifsonia kribbensis,Leifsonia kafniensis,4,475957,WRONG,Lysinimonas kribbensis,
Leisingera nanhaiensis,Leisingera daeponensis,5,405746,WRONG,Sedimentitalea nanhaiensis,
Lelfsonla aurea,Sandersonia aurantiaca,5,61864,WRONG,Rhodoglobus aureus,
Leuconostoc gasicomitatum,Leuconostoc citreum,8,33964,WRONG,Leuconostoc gelidum,
Leuconostoc pseudoficulneum,Leuconostoc pseudomesenteroides,8,33968,WRONG,Fructobacillus pseudoficulneus,
Marinicola seohaensis,Graminicola bengalensis,6,330742,WRONG,Roseivirga ehrenbergii,
Marinobacter aquaeolei,Marinobacter squalenivorans,4,190514,WRONG,Marinobacter hydrocarbonoclasticus,
Marinococcus albus,Ruminococcus albus,3,1264,WRONG,Salimicrobium album,
Marinomonas basaltis,Marinomonas brasilensis,4,990933,WRONG,Marinomonas communis,
Marmobacter aquaeolei,Marinobacter squalenivorans,6,190514,WRONG,Marinobacter hydrocarbonoclasticus,
Methylibium fulvum,Methylibium petroleiphilum,6,105560,WRONG,Rhizobacter fulvus,
Methylobacterium chloromethanicum,Methylobacterium rhodesianum,9,29427,WRONG,Methylobacterium extorquens,
Methylobacterium dichloromethanicum,Ancylobacter dichloromethanicus,8,518825,WRONG,Methylobacterium extorquens,
Methylobaoterium chloromethanicum,Methylobacterium rhodesianum,10,29427,WRONG,Methylobacterium extorquens,
Micrococcus psychrophilum,Jeotgalicoccus psychrophilus,5,157228,WRONG,Micrococcus antarcticus,
Microscilla sericed,Microscilla marina,5,1027,WRONG,Marivirga sericea,
Mycoplana bullata,Rhizoplaca bullata,4,264713,WRONG,Brevundimonas bullata,
Natronobacterium pharaonis,Natronobacterium innermongoliae,7,61609,WRONG,Natronomonas pharaonis,
Naxibacter alkalitolerans,Desulfitibacter alkalitolerans,3,264641,WRONG,Massilia alkalitolerans,
Naxibacter haematophilus,Thioalkalibacter halophilus,6,469656,WRONG,Massilia haematophila,
Naxibacter suwonensis,Pedobacter suwonensis,4,332999,WRONG,Massilia suwonensis,
Naxibacter varians,Rathayibacter caricis,5,110936,WRONG,Massilia varians,
Nocardioides basaltis,Nocardioides panacisoli,4,627624,WRONG,Nocardioides salarius,
Nocardioides simplex,Draparnaldioides simplex,4,1301341,WRONG,Pimelobacter simplex,
Novosphingobium subarcticum,Novosphingobium aquaticum,5,1117703,WRONG,Novosphingobium resinovorum,
Ogataea kodamae,Ogataea ramenticola,4,104402,WRONG,Pichia kodamae,
Paenibacillus azotofixans,Paenibacillus azoreducens,6,116718,WRONG,Paenibacillus durus,
Pasteurella avium,Pasteurella multocida,4,747,WRONG,Avibacterium avium,
Pasteurella gallinamm,Pasteurella canis,7,753,WRONG,Avibacterium gallinarum,
Pasteurella gallinarum,Haloanella gallinarum,6,109245,WRONG,Avibacterium gallinarum,
Pasteurella volantium,Pasteurella canis,6,753,WRONG,Avibacterium volantium,
Pectobacterium cypripedii,Pectobacterium atrosepticum,7,29471,WRONG,Pantoea cypripedii,
Pediococcus dextrinicus,Pediococcus argentinicus,5,480391,WRONG,Lactobacillus dextrinicus,
Phaeobacter caeruleus,Methylobacter capsulatus,7,430,WRONG,Leisingera caerulea,
Phaeobacter daeponensis,Marinobacter daepoensis,5,262077,WRONG,Leisingera daeponensis,
Pichia angusta,Kikihia angusta,2,140071,WRONG,Ogataea angusta,
Pichia anomala,Bostrychia anomala,2,1432260,WRONG,Wickerhamomyces anomalus,
Pichia dorogensis,Pichia norvegensis,3,4921,WRONG,Ogataea dorogensis,
Pichia farinosa,Actinidia farinosa,3,222495,WRONG,Millerozyma farinosa,
Pichia finiandica,Mycetophila finlandica,5,1601826,WRONG,Ogataea wickerhamii,
Pichia henricii,Pichia heedii,4,53659,WRONG,Ogataea henricii,
Pichia meihanoiica,Pichia membranifaciens,6,4926,WRONG,Ogataea methanolica,
Pichia methanolica,Prototrichia metallica,4,1334559,WRONG,Ogataea methanolica,
Pichia phiiodendra,Pichia occidentalis,6,54552,WRONG,Ogataea philodendri,
Pichia siamensis,Blachia siamensis,2,316761,WRONG,Ogataea siamensis,
Pichia silvicola,Helicia silvicola,2,1679315,WRONG,Wickerhamomyces silvicola,
Pichia trehaloabstinens,Pichia cf. trehaloabstinens UWO(PS)99-304.4,4,204239,WRONG,Ogataea trehaloabstinens,
Pichia zsoltii,Dioszegia zsoltii,4,183969,WRONG,Ogataea zsoltii,
Promicromonospora enterophila,Promicromonospora aerolata,6,195749,WRONG,Oerskovia enterophila,
Pseudidiomarina taiwanensis,Aliidiomarina taiwanensis,5,946228,WRONG,Idiomarina taiwanensis,
Pseudoalteromonas bacteriolytica,Pseudoalteromonas peptidolytica,6,61150,WRONG,Algicola bacteriolytica,
Pseudomonas elongara,Pseudomonas congelans,4,200452,WRONG,Microbulbifer elongatus,
Pseudomonas lanceolata,Pseudomonas avellanae,5,46257,WRONG,Curvibacter lanceolatus,
Ralstonia metallidurans,Alsobacter metallidurans,7,340221,WRONG,Cupriavidus metallidurans,
Rhizobium radiobacter,Rhizobium/Agrobacterium group,5,227290,WRONG,Agrobacterium tumefaciens,
Rhodocista centenaria,Rhodocista pekingensis,7,201185,WRONG,Rhodospirillum centenum,
Rhodopseudomonas acidophila,Rhodopseudomonas harwoodiae,7,759839,WRONG,Rhodoblastus acidophilus,
Rhodopseudomonas viridis,Rhodopseudomonas palustris,6,1076,WRONG,Blastochloris viridis,
Rhodospirillum salinarum,Caenispirillum salinarum,5,859058,WRONG,Rhodovibrio salinarum,
Ruegelia algicola,Rudbeckia alpicola,5,48211,WRONG,Marinovum algicola,
Ruegeria algicola,Rudbeckia alpicola,5,48211,WRONG,Marinovum algicola,
Ruegeria gelatinovorans,Ruegeria aff. gelatinovorans ch611,5,137546,WRONG,Thalassobius gelatinovorus,
Saccharothrix tangerinus,Saccharothrix algeriensis,4,173560,WRONG,Umezawaea tangerina,
Salegentibacter catena,Salegentibacter salinarum,3,447422,WRONG,Salinimicrobium catena,
Sandarakinotalea sediminis,Sandaracinobacter sibiricus,10,56359,WRONG,Nonlabens sediminis,
Sejongia antarctica,Dicksonia antarctica,4,3271,WRONG,Chryseobacterium antarcticum,
Sejongia jeonii,Dejongia lobidactylus,5,687320,WRONG,Chryseobacterium jeonii,
Sejongia marina,Delongia marina,2,335968,WRONG,Chryseobacterium marinum,
Shewanella affinis,Shewanella frigidimarina,4,56812,WRONG,Shewanella colwelliana,
Silicibacter pomerayi,Silicibacter phage DSS3phi2,6,490912,WRONG,Ruegeria pomeroyi,
Silicibacter pomeroyi,Silicibacter sp. TrichCH4B,6,644076,WRONG,Ruegeria pomeroyi,
Simonsiella crassa,Timmiella crassinervis,5,122763,WRONG,Alysiella crassa,
Simonsiella steedae,Simonsiella muelleri,5,72,WRONG,Conchiformibius steedae,
Sinorhizobium adhaerens,Sinorhizobium indiaense,5,77789,WRONG,Ensifer adhaerens,
Slanierella lalercula,Boulengerella maculata,7,42603,WRONG,Aquimarina latercula,
Sphfngomonas suberffaciens,Sphingomonas yunnanensis,9,310400,WRONG,Rhizorhapis suberifaciens,
Sphingobacterium antarcticum,Exiguobacterium antarcticum,5,132920,WRONG,Pedobacter antarcticus,
Sphingomonas capsulata,Sphingomonas aerolata,4,185951,WRONG,Novosphingobium capsulatum,
Sphingomonas cloacae,Sphingomonas cynarae,3,930197,WRONG,Sphingobium cloacae,
Sphingomonas suberifaciens,Sphingomonas yunnanensis,8,310400,WRONG,Rhizorhapis suberifaciens,
Sphingopyxis flavimaris,Sphingopyxis alaskensis,6,117207,WRONG,Sphingorhabdus flavimaris,
Sphingopyxis litoris,Sphingopyxis italica,4,1129133,WRONG,Sphingorhabdus litoris,
Sporisorium elionuri,Sporisorium lepturi,4,249474,WRONG,Anthracocystis elionuri,
Stanierella latercula,Asterella lateralis,7,762199,WRONG,Aquimarina latercula,
Stappia aggregata,Cladia aggregata,4,52587,WRONG,Labrenzia aggregata,
Stappia aggregate,Cladia aggregata,5,52587,WRONG,Labrenzia aggregata,
Stenothermobacter spongiae,Methanothermobacter phage psiM100,8,173824,WRONG,Nonlabens spongiae,
Stephanoascus ciferrii,Stephanodiscus reimerii,6,382370,WRONG,Trichomonascus ciferrii,
Stomatococcus mucilaginosus,Streptococcus anginosus,9,1328,WRONG,Rothia mucilaginosa,
Streptococcus pleomorphus,Streptomyces plemorphus,5,225050,WRONG,Faecalicoccus pleomorphus,
Streptomyces kentuckensis,Streptomyces kasugaensis,5,1946,WRONG,Streptomyces netropsis,
Subtercola pratensis,Succisa pratensis,6,105906,WRONG,Agreia pratensis,
Sympodiomyces parvus,Sympodiomyces sp. LCF-01,5,1041477,WRONG,Blastobotrys parvus,
Tetrathiobacter kashmirensis,Erythrobacter mathurensis,9,428987,WRONG,Advenella kashmirensis,
Thalassobacter arenae,Thalassobacter stenotrophicus,4,266809,WRONG,Litoreibacter arenae,
Thalassomonas agarivorans,Pseudoalteromonas agarivorans,5,176102,WRONG,Thalassotalea agarivorans,
Thalassomonas loyana,Thalassomonas viridans,5,137584,WRONG,Thalassotalea loyana,
Thermococcoides shengliensis,Methermicoccus shengliensis,6,660064,WRONG,Kosmotoga shengliensis,
Thiobacillus intermedius,Lactobacillus intermedius,3,316518,WRONG,Thiomonas intermedia,
Thiomfcrospfra denitrificans,Hyphomicrobium denitrificans,8,53399,WRONG,Sulfurimonas denitrificans,
Thiomonas cuprina,Thiomonas intermedia,5,926,WRONG,Thiomonas delicata,
Virgibacillus koreensis,Virgibacillus kekensis,3,202261,WRONG,Aquibacillus koreensis,
Virgibacillus picturae,Virgibacillus litoralis,4,578221,WRONG,Oceanobacillus picturae,
Wautersiella falsenii,Corynebacterium falsenii,7,108486,WRONG,Empedobacter falsenii,
Weissella kimchii,Weissella minor,5,1620,WRONG,Weissella cibaria,
Wiiliopsis saiicornia,Trapeliopsis californica,7,177104,WRONG,Ogataea salicorniae,
Williopsis mucosa,Trachiopsis mucosa,4,885729,WRONG,Wickerhamomyces mucosus,
Wycoplanal bullata,Rhizoplaca bullata,5,264713,WRONG,Mycoplana ramosa,
Zimmermannella helvola,Zimmermannella alba NBRC 15616,5,1349786,WRONG,Pseudoclavibacter helvolus,
Zymoxenogloea eriophori,Zymoxenogloea sp. SS-3A,8,411587,WRONG,Kriegeria eriophori,
c  aciditolerans,Thermoanaerobacterium aciditolerans,2,242698,WRONG,Clostridium aciditolerans,
c  drakei,Ormocarpum drakei,2,107314,WRONG,Clostridium drakei,
abyssi,Crambe hispanica subsp. abyssinica,0,3721,WRONG,Shewanella abyssi,Ijs.0.64708
alboniger,Resupinatus alboniger,0,91751,WRONG,Streptomyces alboniger,
alboviridis,Proliferodiscus alboviridis,0,47812,WRONG,Streptomyces alboviridis,
algae,Chlorella-like algae,0,3168,WRONG,Shewanella algae,
algae,Chlorella-like algae,0,3168,WRONG,Shewanella algae,
algeriensis,Eumeces algeriensis,0,63343,WRONG,Saccharothrix algeriensis,
Saligentibacter oatena,Salegentibacter salinarum,4,447422,WRONG,Salinimicrobium catena,
asiaticus,Candidatus Liberibacter asiaticus,0,34021,WRONG,Streptomyces asiaticus,
atlantica,Pseudoalteromonas atlantica,0,288,WRONG,Shewanella atlantica,
atrovirens,Rhinocladiella atrovirens,0,5588,WRONG,Streptomyces atrovirens,
aurantiaca,Stigmatella aurantiaca,0,41,WRONG,Sphingomonas aurantiaca,
avicenniae,Acrocephalus avicenniae,0,126887,WRONG,Streptomyces avicenniae,
azureus,Couchioplanes caeruleus subsp. azureus,0,56428,WRONG,Streptomyces azureus,
baltica,Hirschia baltica,0,2724,WRONG,Shewanella baltica,
bovfs,Moraxella bovis,1,476,WRONG,Streptococcus bovis,
canescens,Penicillium canescens,0,5083,WRONG,Streptomyces canescens,
canis,Neisseria canis,0,493,WRONG,Streptococcus canis,
canleya,Stanleya,1,72661,WRONG,Streptomyces cattleya,
carneum,Penicillium carneum,0,47248,WRONG,Streptosporangium carneum,
cebuensis,Phylloscopus cebuensis,0,163865,WRONG,Saccharupolyspora cebuensis,
chromogenes,Arthrobacter polychromogenes,0,1676,WRONG,Staphylococcus chromogenes,
claviforme,Rhodobaculum claviforme,0,1549854,WRONG,Streptosporangium amethystogenes,
cremeus,Aspergillus eburneocremeus,0,41758,WRONG,Streptomyces cremeus,
cristatus,Triturus cristatus,0,8323,WRONG,Streptococcus cristatus,
decolorationis,Bacillus decolorationis,0,163879,WRONG,Shewanella decolorationis,
denitrificans,Paracoccus denitrificans,0,266,WRONG,Shewanella denitrificans,
disulfidooxidans,Alicyclobacillus disulfidooxidans,0,42808,WRONG,Sulfobacillus disulfidooxidans,
emeiensis,Ophiocordyceps emeiensis,0,169042,WRONG,Streptomyces emeiensis,
endophytica,Audouinella endophytica,0,79939,WRONG,Saccharopolyspora endophytica,
endus,Porcellionides cingendus,0,96869,WRONG,Streptomyces endus,
endus,Porcellionides cingendus,0,96869,WRONG,Streptomyces endus,
equi,Salmonella enterica subsp. enterica serovar Abortusequi,0,607,WRONG,Streptococcus equi,
equorum,Parascaris equorum,0,6256,WRONG,Staphylococcus equorum,
amazonensis,Leishmania amazonensis,0,5659,WRONG,Shewanella amazonensis,
erumpens,Leptosira erumpens,0,53261,WRONG,Streptomyces erumpens,
felis,Helicobacter felis,0,214,WRONG,Staphylococcus felis,
fidelis,Monadenia fidelis,0,145758,WRONG,Shewanella fidelis,
filamentosus,Fundulopanchax filamentosus,0,60261,WRONG,Streptomyces filamentosus,
fimbriatus,Chelus fimbriatus,0,44495,WRONG,Streptomyces fimbriatus,
flava,Leeuwenhoekiella marinoflava,0,988,WRONG,Saccharopolyspora flava,
fngldlmanna,Picea engelmannii,4,3334,WRONG,Shewanella frigidimarina,
fragile,Codium fragile,0,3133,WRONG,Streptosporangium amethystogenes,
gallinarum,Avibacterium paragallinarum,0,728,WRONG,Staphylococcus gallinarum,
haemolyticus,Vibrio parahaemolyticus,0,670,WRONG,Staphylococcus haemolyticus,
halophila,Spirochaeta halophila,0,149,WRONG,Saccharopolyspora halophila,
hirsutus,Lathyrus hirsutus,0,3857,WRONG,Streptomyces hirsutus,
hyointestinalis,Campylobacter hyointestinalis,0,198,WRONG,Streptococcus hyointestinalis,
indonesiensis,Desulfovibrio indonesiensis,0,54767,WRONG,Streptomyces indonesiensis,
indonesiensis,Desulfovibrio indonesiensis,0,54767,WRONG,Streptomyces indonesiensis,
infantis,Bifidobacterium longum subsp. infantis,0,1682,WRONG,Streptococcus infantis,
intestinalis,Campylobacter hyointestinalis,0,198,WRONG,Streptococcus intestinalis,
javensis,Coemansia mojavensis,0,4864,WRONG,Streptomyces javensis,
koreensis,Kribbella koreensis,0,57909,WRONG,Sphingomonas koreensis,
laceyi,Wallaceina collosoma,1,5686,WRONG,Streptomyces laceyi,
lateritius,Cantharellus lateritius,0,57194,WRONG,Streptomyces lateritius,
lentus,Bacillus lentus,0,1467,WRONG,Staphylococcus lentus,
lilacinus,Planococcus lilacinus,0,40930,WRONG,Streptomyces lilacinus,
liquefaciens,Moraxella nonliquefaciens,0,478,WRONG,Serratia liquefaciens,
longispora,Planobispora longispora,0,28887,WRONG,Saccharothrix longispora,
lutrae,Vagococcus lutrae,0,81947,WRONG,Staphylococcus felis,
macacae,Neisseria macacae,0,496,WRONG,Streptococcus macacae,
macedonfcus,Mus macedonicus,1,10100,WRONG,Streptococcus macedonicus,
macrosporus,Corallococcus macrosporus,0,35,WRONG,Streptomyces macrosporus,
melonis,Xanthomonas melonis,0,56456,WRONG,Sphingomonas melonis,
mexicanus,Astyanax mexicanus,0,7994,WRONG,Streptomyces mexicanus,
mfrae,Gordonia amarae,1,36821,WRONG,Staphylococcus chromogenes,
mirabilis,Proteus mirabilis,0,584,WRONG,Staphylococcus lutrae,
mitis,Caryota mitis,0,4714,WRONG,Streptococcus mitis,
mitis,Caryota mitis,0,4714,WRONG,Streptococcus mitis,
mutans,Tuberoidobacter mutans,0,132,WRONG,Streptococcus mutans,
mutans,Tuberoidobacter mutans,0,132,WRONG,Streptococcus mutans,
nodosus,Dichelobacter nodosus,0,870,WRONG,Streptomyces nodosus,
oralis,Spirochaeta litoralis,0,151,WRONG,Streptococcus oralis,
oralis,Spirochaeta litoralis,0,151,WRONG,Streptococcus oralis,
pasteurianus,Acetobacter pasteurianus,0,438,WRONG,Streptococcus pasteurianus,
phyllosphaerae,Microbacterium phyllosphaerae,0,124798,WRONG,Sphingomonas phyllosphaerae,
platensis,Ipomoea platensis,0,35881,WRONG,Streptomyces platensis,
pneumoniae,Klebsiella pneumoniae,0,573,WRONG,Streptococcus pneumoniae,
pneumonlae,Klebsiella pneumoniae,1,573,WRONG,Streptococcus pneumoniae,
purpureus,Rhodocyclus purpureus,0,1067,WRONG,Streptomycetes purpureus,
radiopugnans,Deinococcus radiopugnans,0,57497,WRONG,Streptomyces radiopugnans,
rosea,Kocuria rosea,0,1275,WRONG,Saccharopolyspora rosea,
roseoflavus,Butyriboletus roseoflavus,0,1325616,WRONG,Streptomyces roseoflavus,
saccharolyticus,Peptoniphilus asaccharolyticus,0,1258,WRONG,Staphylococcus saccharolyticus,
sediminis,Virgibacillus sediminis,0,202260,WRONG,Shewanella sediminis,
setonii,Cetoniinae,1,7056,WRONG,Streptomyces setonii,
somaliensis,Ledebouria somaliensis,0,65781,WRONG,Streptomyces somaliensis,
speoialis,Methylobacterium specialis,1,411,WRONG,Streptomyces specialis,
spinosa,Synura spinosa,0,2992,WRONG,Saccharopolyspora spinosa,
suis,Actinobacillus suis,0,716,WRONG,Streptococcus suis,
syringae,Pseudomonas syringae,0,317,WRONG,Saccharothrix syringae,
thermocarboxydovorans,Pseudomonas thermocarboxydovorans,0,34066,WRONG,Streptomyces thermocarboxydovorans,
therrnocarboxydovorans,Pseudomonas thermocarboxydovorans,2,34066,WRONG,Streptomyces thermocarboxydovorans,
vietnamensis,Panax vietnamensis,0,106132,WRONG,Streptomyces vietnamensis,
violatus,Pristobrycon striolatus,1,42536,WRONG,Streptomyces violatus,
waius,Dromaius,1,8789,WRONG,Streptococcus macedonicus,
xinjiangensis,Pseudonocardia xinjiangensis,0,75289,WRONG,Saccharothrix xinjiangensis,
Plionitis filiformis,Roseobacter sp. (Prionitis filiformis symbiont),1,85379,WRONG,Prionitis filiformis,
Candida amapae,Candida aaseri,3,45518,WRONG,Saccharomycopsis amapae,
Chryseobacterium miricola,Chryseobacterium piscicola,3,551459,WRONG,Elizabethkingia miricola,
Cryptococcus watticus,Cryptococcus gastricus,3,92955,WRONG,Holtermanniella watticus,
Candida laasltanensis,Candida easanensis,4,298208,WRONG,Nakazawaea laoshanensis,
Clostridium irregulare,Leptodontidium irregulare,4,205358,WRONG,Asaccharospora irregularis,
Clostridium proteoclastlcum,Clostridium proteolyticum,4,29365,WRONG,Butyrivibrio proteoclasticus,
Clostridium sulfatireducens,Clostridium thiosulfatireducens,4,150336,WRONG,Clostridium sulfidigenes,
Clyptococcus heveanensis,Cryptococcus taeanensis,4,1390387,WRONG,Kwoniella heveanensis,
Cryptococcus aquaticus,Cryptococcus antarcticus,4,89916,WRONG,Mrakiella aquatica,
Desulfobacterium cetonicum,Desulfobacterium indolicum,4,90733,WRONG,Desulfosarcina cetonica,
Eubacterium bifomve,Eubacterium uniforme,4,39495,WRONG,Holdemanella biformis,
Clyptococcus nyanowii,Cryptococcus elinovii,5,92957,WRONG,Holtermanniella nyarrowii,
Cryptococous macelans,Cryptococcus adeliensis,5,92952,WRONG,Cystofilobasidium macerans,
Cytophaga fermentans,Mycoplasma fermentans,5,2115,WRONG,Saccharicrinis fermentans,
Acidofhermus cellulolyticus,Acidothermus cellulolyticus,1,28049,,,
Acidovorax anlhurii,Acidovorax anthurii,1,78229,,,
Acidovorax kanjaci,Acidovorax konjaci,1,32040,,,
Acidovorax valerianelle,Acidovorax valerianellae,1,187868,,,
Acinetabacter calcoaceticus,Acinetobacter calcoaceticus,1,471,,,
Aclinomyces radingae,Actinomyces radingae,1,131110,,,
Acrinoallomurus purpureus,Actinoallomurus purpureus,1,478114,,,
Acrinomyces funkei,Actinomyces funkei,1,132933,,,
Actfnokineospora terrae,Actinokineospora terrae,1,155974,,,
Actinnplanes missouriensis,Actinoplanes missouriensis,1,1866,,,
Actinoplanes digitatls,Actinoplanes digitatis,1,1868,,,
Actlnobacillus lignieresii,Actinobacillus lignieresii,1,720,,,
Aeromicrobium elythreum,Aeromicrobium erythreum,1,2041,,,
Agramyces ramosus,Agromyces ramosus,1,33879,,,
Agroooccus versicolor,Agrococcus versicolor,1,501482,,,
Ahrensia kieliensis,Ahrensia kielensis,1,76980,,,
Ailochromatium warmingii,Allochromatium warmingii,1,61595,,,
Algnriphagus locisalis,Algoriphagus locisalis,1,305507,,,
Algoiiphagus ratkowskyi,Algoriphagus ratkowskyi,1,57028,,,
Algorfphagus halophilus,Algoriphagus halophilus,1,226505,,,
Algoriphagus borirolerans,Algoriphagus boritolerans,1,308111,,,
Algoriphagus halaphilus,Algoriphagus halophilus,1,226505,,,
Algoriphagus halophllus,Algoriphagus halophilus,1,226505,,,
Algoriphagus vaniongensis,Algoriphagus vanfongensis,1,426371,,,
Algoriphagus winogradski,Algoriphagus winogradskyi,1,237017,,,
Alicyclobacillus acidocaldalius,Alicyclobacillus acidocaldarius subsp. acidocaldarius,1,1388,,,
Alkalibaclerium olivapovliticus,Alkalibacterium olivapovliticus,1,99907,,,
Alleromonas marina,Alteromonas marina,1,203795,,,
Aloanivorax borkumensis,Alcanivorax borkumensis,1,59754,,,
Alteramonas macleodii,Alteromonas macleodii,1,28108,,,
Altermonas macleodii,Alteromonas macleodii,1,28108,,,
Alteromonas macleodif,Alteromonas macleodii,1,28108,,,
Althrobacter globiformis,Arthrobacter globiformis,1,1665,,,
Amphibacillus troplcus,Amphibacillus tropicus,1,173040,,,
Amycolatopsis fhermoflava,Amycolatopsis thermoflava,1,84480,,,
Amyolatopsis pretoriensis,Amycolatopsis pretoriensis,1,218821,,,
Anaerolilum agile,Anaerofilum agile,1,52786,,,
Anaerolilum pentosovorans,Anaerofilum pentosovorans,1,52787,,,
Ancyclobacter aquaticus,Ancylobacter aquaticus,1,100,,,
Anguiomicrobium tetraedrale,Angulomicrobium tetraedrale,1,217068,,,
Anoxybacillus pushchinoensls,Anoxybacillus pushchinoensis,1,150248,,,
Anoxybacillus pushchlnoensis,Anoxybacillus pushchinoensis,1,150248,,,
Aotinomyces georgiae,Actinomyces georgiae,1,52768,,,
Aqulmonas voraii,Aquimonas voraii,1,265719,,,
Arcobacter nitroffgilis,Arcobacter nitrofigilis,1,28199,,,
Arfhrobacter arilaitensis,Arthrobacter arilaitensis,1,256701,,,
Arfhrobacter citreus,Arthrobacter citreus,1,1670,,,
Arfhrobacter gandavensis,Arthrobacter gandavensis,1,169960,,,
Arfhrobacter globiformis,Arthrobacter globiformis,1,1665,,,
Arihrobacter kerguelensis,Arthrobacter kerguelensis,1,254788,,,
Arihrobacter rhombi,Arthrobacter rhombi,1,71253,,,
Arrhrobacter globiformis,Arthrobacter globiformis,1,1665,,,
Arthobacter albus,Arthrobacter albus,1,98671,,,
Arthrobacler nasiphocae,Arthrobacter nasiphocae,1,189863,,,
Arthrobacrer agilis,Arthrobacter agilis,1,37921,,,
Arthrobacter nicatianae,Arthrobacter nicotianae,1,37929,,,
Arthrobaoter histidinolovorans,Arthrobacter histidinolovorans,1,43664,,,
Atapobium minutum,Atopobium minutum,1,1381,,,
Azaspirillum rugosum,Azospirillum rugosum,1,416170,,,
Azorhizobium caulfnodans,Azorhizobium caulinodans,1,7,,,
Azospira olyzae,Azospira oryzae,1,146939,,,
Azospirillum olyzae,Azospirillum oryzae,1,286727,,,
Azospirillum rugasum,Azospirillum rugosum,1,416170,,,
Azosplrillum halopraeferens,Azospirillum halopraeferens,1,34010,,,
Azosplrillum melinis,Azospirillum melinis,1,328839,,,
Bacillus agaradhaerens,[Bacillus] agaradhaerens,1,76935,,,
Bacillus alcalophllus,Bacillus alcalophilus,1,1445,,,
Bacillus alkalidiazotrophicus,Anaerobacillus alkalidiazotrophicus,1,472963,,,
Bacillus arsenicus,Fictibacillus arsenicus,1,255247,,,
Bacillus arvi,Viridibacillus arvi,1,263475,,,
Bacillus barbaricus,Fictibacillus barbaricus,1,182136,,,
Bacillus batavlensis,Bacillus bataviensis,1,220685,,,
Bacillus clarkii,[Bacillus] clarkii,1,79879,,,
Bacillus denitrificans,Thiobacillus denitrificans,1,36861,,,
Bacillus fusiformis,Lysinibacillus fusiformis,1,28031,,,
Bacillus haloalkaliphilus,Alkalibacillus haloalkaliphilus,1,94136,,,
Bacillus halodenitrificans,Virgibacillus halodenitrificans,1,1482,,,
Bacillus halophilus,Halobacillus halophilus,1,1570,,,
Bacillus holti,Bacillus horti,1,77523,,,
Bacillus insolitus,Psychrobacillus insolitus,1,1461,,,
Bacillus lirmus,Bacillus firmus,1,1399,,,
Bacillus macyae,Anaerobacillus macyae,1,157733,,,
Bacillus nanhaiensis,Fictibacillus nanhaiensis,1,742169,,,
Bacillus neidei,Viridibacillus neidei,1,101059,,,
Bacillus odysseyi,Lysinibacillus odysseyi,1,202611,,,
Bacillus pallidus,Aeribacillus pallidus,1,33936,,,
Bacillus persepolensis,Alteribacillus persepolensis,1,568899,,,
Bacillus pseudojirmus,Bacillus pseudofirmus,1,79885,,,
Bacillus psychrodurans,Psychrobacillus psychrodurans,1,126157,,,
Bacillus psychrotolerans,Psychrobacillus psychrotolerans,1,126156,,,
Bacillus pycnus,Rummeliibacillus pycnus,1,101070,,,
Bacillus rigui,Fictibacillus rigui,1,554308,,,
Bacillus selenitireducens,[Bacillus] selenitireducens,1,85683,,,
Bacillus silvestris,Solibacillus silvestris,1,76853,,,
Bacillus solisalsi,Fictibacillus solisalsi,1,459525,,,
Bacillus sphaericus,Lysinibacillus sphaericus,1,1421,,,
